"No.","Time","Source","Destination","Protocol","Length","Info"
"304","12.037568","2.2.2","host","USB","27","URB_BULK out"
"305","12.037569","host","2.2.1","USB","27","URB_BULK in"
"306","12.037772","2.2.1","host","USBMS","45",""
"307","12.037774","host","2.2.1","USB","27","URB_BULK in"
"308","12.037822","2.2.1","host","USBMS","40",""
"309","12.037838","host","2.2.2","USBMS","58","SCSI Mode Select(10) LUN: 0x00 "
"310","12.037859","2.2.2","host","USB","27","URB_BULK out"
"311","12.037860","host","2.2.2","USBMS","51",""
"312","12.037910","2.2.2","host","USB","27","URB_BULK out"
"313","12.037911","host","2.2.1","USB","27","URB_BULK in"
"314","12.044863","2.2.1","host","USBMS","40",""
"315","12.044877","host","2.2.2","USBMS","58","SCSI Request Sense LUN: 0x00 "
"316","12.044910","2.2.2","host","USB","27","URB_BULK out"
"317","12.044911","host","2.2.1","USB","27","URB_BULK in"
"318","12.046429","2.2.1","host","USBMS","45",""
"319","12.046441","host","2.2.1","USB","27","URB_BULK in"
"320","12.046482","2.2.1","host","USBMS","40",""
"321","12.046651","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"322","12.046672","2.2.2","host","USB","27","URB_BULK out"
"323","12.046673","host","2.2.1","USB","27","URB_BULK in"
"324","12.046831","2.2.1","host","USBMS","35",""
"325","12.046833","host","2.2.1","USB","27","URB_BULK in"
"326","12.047044","2.2.1","host","USBMS","40",""
"327","12.047066","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"328","12.047091","2.2.2","host","USB","27","URB_BULK out"
"329","12.047092","host","2.2.1","USB","27","URB_BULK in"
"330","12.047287","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"331","12.047288","host","2.2.1","USB","27","URB_BULK in"
"332","12.047337","2.2.1","host","USBMS","40",""
"333","12.047673","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"334","12.047710","2.2.2","host","USB","27","URB_BULK out"
"335","12.047712","host","2.2.1","USB","27","URB_BULK in"
"336","12.047861","2.2.1","host","USBMS","35",""
"337","12.047862","host","2.2.1","USB","27","URB_BULK in"
"338","12.047910","2.2.1","host","USBMS","40",""
"339","12.047942","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"340","12.047962","2.2.2","host","USB","27","URB_BULK out"
"341","12.047964","host","2.2.1","USB","27","URB_BULK in"
"342","12.048110","2.2.1","host","USBMS","35",""
"343","12.048111","host","2.2.1","USB","27","URB_BULK in"
"344","12.048163","2.2.1","host","USBMS","40",""
"345","12.048181","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"346","12.048222","2.2.2","host","USB","27","URB_BULK out"
"347","12.048223","host","2.2.1","USB","27","URB_BULK in"
"348","12.048311","2.2.1","host","USBMS","35",""
"349","12.048313","host","2.2.1","USB","27","URB_BULK in"
"350","12.048356","2.2.1","host","USBMS","40",""
"351","12.048377","host","2.2.2","USBMS","58","SCSI Read(10) LUN: 0x00 512 bytes (1 blocks) at LBA: 0x00000000 "
"352","12.048396","2.2.2","host","USB","27","URB_BULK out"
"353","12.048398","host","2.2.1","USB","27","URB_BULK in"
"354","12.049714","2.2.1","host","USBMS","539",""
"355","12.049726","host","2.2.1","USB","27","URB_BULK in"
"356","12.049779","2.2.1","host","USBMS","40",""
"357","12.050201","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"358","12.050236","2.2.2","host","USB","27","URB_BULK out"
"359","12.050238","host","2.2.1","USB","27","URB_BULK in"
"360","12.054774","2.2.1","host","USBMS","35",""
"361","12.054788","host","2.2.1","USB","27","URB_BULK in"
"362","12.054827","2.2.1","host","USBMS","40",""
"363","12.054830","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"364","12.054877","2.2.2","host","USB","27","URB_BULK out"
"365","12.054878","host","2.2.1","USB","27","URB_BULK in"
"366","12.056767","2.2.1","host","USBMS","79",""
"367","12.056780","host","2.2.1","USB","27","URB_BULK in"
"368","12.056824","2.2.1","host","USB","27","URB_BULK in"
"369","12.056830","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"370","12.057076","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"371","12.057078","host","2.2.1","USB","27","URB_BULK in"
"372","12.057111","2.2.1","host","USBMS","40",""
"373","12.057115","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"374","12.057132","2.2.2","host","USB","27","URB_BULK out"
"375","12.057133","host","2.2.1","USB","27","URB_BULK in"
"376","12.060908","2.2.1","host","USBMS","35",""
"377","12.060921","host","2.2.1","USB","27","URB_BULK in"
"378","12.060948","2.2.1","host","USBMS","40",""
"379","12.060952","host","2.2.2","USBMS","58","SCSI Test Unit Ready LUN: 0x00 "
"380","12.060999","2.2.2","host","USB","27","URB_BULK out"
"381","12.061000","host","2.2.1","USB","27","URB_BULK in"
"382","12.061250","2.2.1","host","USBMS","40",""
"383","12.061253","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"384","12.061293","2.2.2","host","USB","27","URB_BULK out"
"385","12.061294","host","2.2.1","USB","27","URB_BULK in"
"386","12.066738","2.2.1","host","USBMS","35",""
"387","12.066750","host","2.2.1","USB","27","URB_BULK in"
"388","12.066787","2.2.1","host","USBMS","40",""
"389","12.066790","host","2.2.2","USBMS","58","SCSI Read(10) LUN: 0x00 512 bytes (1 blocks) at LBA: 0x00000000 "
"390","12.066837","2.2.2","host","USB","27","URB_BULK out"
"391","12.066838","host","2.2.1","USB","27","URB_BULK in"
"392","12.070544","2.2.1","host","USBMS","539",""
"393","12.070557","host","2.2.1","USB","27","URB_BULK in"
"394","12.070607","2.2.1","host","USBMS","40",""
"395","12.070611","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"396","12.070623","2.2.2","host","USB","27","URB_BULK out"
"397","12.070624","host","2.2.1","USB","27","URB_BULK in"
"398","12.075561","2.2.1","host","USBMS","79",""
"399","12.075575","host","2.2.1","USB","27","URB_BULK in"
"400","12.075614","2.2.1","host","USB","27","URB_BULK in"
"401","12.075625","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"402","12.075827","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"403","12.075829","host","2.2.1","USB","27","URB_BULK in"
